Artist ID,Name,Nationality,Gender,Birth Year,Death Year
335,Ernst Barlach,German,Male,1870.0,1938.0
336,George Barnard,American,Male,1819.0,1902.0
337,Cyril H. Barnes,American,Male,Unknown,Unknown
338,Matthew Rackham Barnes,American,Male,1880.0,1951.0
339,Robert Barnes,American,Male,1934.0,Unknown
342,Will Barnet,American,Male,1911.0,2012.0
343,Tina Barney,American,Female,1945.0,Unknown
344,Hannelore Baron,American,Female,1926.0,1987.0
345,Martin Barooshian,American,Male,1929.0,Unknown
347,Steve Barraclough,British,Male,Unknown,Unknown
348,Maurice Barraud,Swiss,Male,1889.0,1955.0
349,Susan Barron,American,Female,1947.0,Unknown
350,Thomas F. Barrow,American,Male,1938.0,Unknown
351,D. F. Barry,American,Male,1854.0,1934.0
352,Robert Barry,American,Male,1936.0,Unknown
353,Robert Bart,American,Male,1923.0,Unknown
354,Frances Barth,American,Female,1946.0,Unknown
355,Ruodi Barth,Swiss,Male,1921.0,1999.0
356,"Ralph Bartholomew, Jr.",American,Male,1907.0,1985.0
357,Jennifer Bartlett,American,Female,1941.0,Unknown
358,Robert Bartlett,British,Male,1922.0,1979.0
359,Carlo Bartoli,Italian,Male,1931.0,Unknown
360,Luigi Bartolini,Italian,Male,1892.0,1963.0
361,Joseph Bartscherer,American,Male,1954.0,Unknown
362,Gianfranco Baruchello,Italian,Male,1924.0,Unknown
363,Héctor Basaldua,Argentine,Male,1895.0,1976.0
364,Bernard Baschet,French,Male,1917.0,2015.0
365,François Baschet,French,Male,1920.0,2014.0
366,Georg Baselitz,German,Male,1938.0,Unknown
368,Mati Basis,Israeli,Male,1933.0,Unknown
369,Leonard Baskin,American,Male,1922.0,2000.0
370,Jean-Michel Basquiat,American,Male,1960.0,1988.0
371,Joel Bass,American,Male,1943.0,Unknown
372,Saul Bass,American,Male,1920.0,1996.0
373,Giampiero Bassi,Italian,Gender unknown,1926.0,Unknown
374,Miriam Bat-Yosef,German,Female,1931.0,Unknown
377,Josef Bato,Hungarian,Male,1888.0,1966.0
378,John Battan,American,Male,1943.0,1976.0
379,Wall Batterton,British,Male,1932.0,Unknown
380,Dora M. Batty,British,Female,1900.0,1966.0
381,Eugen Batz,German,Male,1905.0,1986.0
382,"Harry W. Batz, Jr.",American,Male,Unknown,Unknown
383,André Bauchant,French,Male,1873.0,1958.0
384,Karl Bauer,German,Male,1868.0,1942.0
385,Rudolph Bauer,American,Male,1889.0,1954.0
386,Mary Bauermeister,American,Female,1934.0,Unknown
387,Bauhaus,German,Gender unknown,Unknown,Unknown
388,Marilyn Baum,American,Female,1939.0,Unknown
390,Hans Theo Baumann,German,Male,1924.0,Unknown
391,Otto Baumberger,Swiss,Male,1889.0,1961.0
392,Willi Baumeister,German,Male,1889.0,1955.0
393,Lothar Baumgarten,German,Male,1944.0,Unknown
395,Edward Bawden,British,Male,1903.0,1989.0
396,Glen Baxter,British,Male,Unknown,Unknown
397,Iain Baxter&,Canadian,Male,1936.0,Unknown
398,Hippolyte Bayard,French,Male,1801.0,1887.0
399,Herbert Bayer,American,Male,1900.0,1985.0
401,Ed Baynard,American,Male,1940.0,Unknown
402,Thomas Bayrle,German,Male,1937.0,Unknown
403,Douglas Baz,American,Male,1943.0,Unknown
404,Jean Bazaine,French,Male,1904.0,2001.0
405,Castera Bazile,Haitian,Male,1923.0,1966.0
406,William Baziotes,American,Male,1912.0,1963.0
407,Gifford Beal,American,Male,1879.0,1956.0
408,Jack Beal,American,Male,1931.0,2013.0
409,Lester Beall,American,Male,1903.0,1969.0
411,Mark Beard,American,Male,1956.0,Unknown
412,Romare Bearden,American,Male,1911.0,1988.0
413,Aubrey Beardsley,British,Male,1872.0,1898.0
414,Bruce Beasley,American,Male,1939.0,Unknown
415,Beath,British,Gender unknown,1913.0,1991.0
416,Felice Beato,Italian,Male,1825.0,1903.0
417,Cecil Beaton,British,Male,1904.0,1980.0
418,Leslie Beaton,American,Female,Unknown,Unknown
419,Robert Beauchamp,American,Male,1923.0,1995.0
420,André Beaudin,French,Male,1895.0,1975.0
421,Alessandro Becchi,Italian,Male,1946.0,Unknown
422,Bernd Becher,German,Male,1931.0,2007.0
423,Thelma Becherer,American,Female,1916.0,2008.0
424,Robert Bechtle,American,Male,1932.0,Unknown
425,Gustav K. Beck,Austrian,Male,1902.0,1983.0
426,A. Becker,German,Gender unknown,Unknown,Unknown
427,Fred Becker,American,Male,1913.0,2004.0
428,Bill Beckley,American,Male,1946.0,Unknown
429,Max Beckmann,German,Male,1884.0,1950.0
430,Francis Bedford,British,Male,1816.0,1894.0
431,René Beeh,German,Male,1886.0,1922.0
